"","cod_municipio","municipio","faixa_etaria","quantidade","sexo"
"1",210005,"Açailândia","0-4",4461,"Feminino"
"2",210010,"Afonso Cunha","0-4",348,"Feminino"
"3",210015,"Água Doce do Maranhão","0-4",549,"Feminino"
"4",210020,"Alcântara","0-4",917,"Feminino"
"5",210030,"Aldeias Altas","0-4",1419,"Feminino"
"6",210040,"Altamira do Maranhão","0-4",315,"Feminino"
"7",210043,"Alto Alegre do Maranhão","0-4",1178,"Feminino"
"8",210047,"Alto Alegre do Pindaré","0-4",1553,"Feminino"
"9",210050,"Alto Parnaíba","0-4",493,"Feminino"
"10",210055,"Amapá do Maranhão","0-4",359,"Feminino"
"11",210060,"Amarante do Maranhão","0-4",2273,"Feminino"
"12",210070,"Anajatuba","0-4",1030,"Feminino"
"13",210080,"Anapurus","0-4",730,"Feminino"
"14",210083,"Apicum-Açu","0-4",723,"Feminino"
"15",210087,"Araguanã","0-4",792,"Feminino"
"16",210090,"Araioses","0-4",2062,"Feminino"
"17",210095,"Arame","0-4",1706,"Feminino"
"18",210100,"Arari","0-4",1120,"Feminino"
"19",210110,"Axixá","0-4",498,"Feminino"
"20",210120,"Bacabal","0-4",4017,"Feminino"
"21",210125,"Bacabeira","0-4",753,"Feminino"
"22",210130,"Bacuri","0-4",744,"Feminino"
"23",210135,"Bacurituba","0-4",238,"Feminino"
"24",210140,"Balsas","0-4",4058,"Feminino"
"25",210150,"Barão de Grajaú","0-4",592,"Feminino"
"26",210160,"Barra do Corda","0-4",3703,"Feminino"
"27",210170,"Barreirinhas","0-4",3387,"Feminino"
"28",210177,"Bela Vista do Maranhão","0-4",510,"Feminino"
"29",210173,"Belágua","0-4",500,"Feminino"
"30",210180,"Benedito Leite","0-4",183,"Feminino"
"31",210190,"Bequimão","0-4",784,"Feminino"
"32",210193,"Bernardo do Mearim","0-4",240,"Feminino"
"33",210197,"Boa Vista do Gurupi","0-4",504,"Feminino"
"34",210200,"Bom Jardim","0-4",2028,"Feminino"
"35",210203,"Bom Jesus das Selvas","0-4",1765,"Feminino"
"36",210207,"Bom Lugar","0-4",742,"Feminino"
"37",210210,"Brejo","0-4",1761,"Feminino"
"38",210215,"Brejo de Areia","0-4",444,"Feminino"
"39",210220,"Buriti","0-4",1520,"Feminino"
"40",210230,"Buriti Bravo","0-4",1034,"Feminino"
"41",210232,"Buriticupu","0-4",3779,"Feminino"
"42",210235,"Buritirana","0-4",707,"Feminino"
"43",210237,"Cachoeira Grande","0-4",498,"Feminino"
"44",210240,"Cajapió","0-4",518,"Feminino"
"45",210250,"Cajari","0-4",944,"Feminino"
"46",210255,"Campestre do Maranhão","0-4",602,"Feminino"
"47",210260,"Cândido Mendes","0-4",937,"Feminino"
"48",210270,"Cantanhede","0-4",945,"Feminino"
"49",210275,"Capinzal do Norte","0-4",436,"Feminino"
"50",210280,"Carolina","0-4",920,"Feminino"
"51",210290,"Carutapera","0-4",1144,"Feminino"
"52",210300,"Caxias","0-4",6360,"Feminino"
"53",210310,"Cedral","0-4",376,"Feminino"
"54",210312,"Central do Maranhão","0-4",427,"Feminino"
"55",210315,"Centro do Guilherme","0-4",692,"Feminino"
"56",210317,"Centro Novo do Maranhão","0-4",1218,"Feminino"
"57",210320,"Chapadinha","0-4",3734,"Feminino"
"58",210325,"Cidelândia","0-4",664,"Feminino"
"59",210330,"Codó","0-4",5295,"Feminino"
"60",210340,"Coelho Neto","0-4",2213,"Feminino"
"61",210350,"Colinas","0-4",1709,"Feminino"
"62",210355,"Conceição do Lago-Açu","0-4",934,"Feminino"
"63",210360,"Coroatá","0-4",2791,"Feminino"
"64",210370,"Cururupu","0-4",1181,"Feminino"
"65",210375,"Davinópolis","0-4",544,"Feminino"
"66",210380,"Dom Pedro","0-4",871,"Feminino"
"67",210390,"Duque Bacelar","0-4",557,"Feminino"
"68",210400,"Esperantinópolis","0-4",671,"Feminino"
"69",210405,"Estreito","0-4",1673,"Feminino"
"70",210407,"Feira Nova do Maranhão","0-4",371,"Feminino"
"71",210408,"Fernando Falcão","0-4",572,"Feminino"
"72",210409,"Formosa da Serra Negra","0-4",797,"Feminino"
"73",210410,"Fortaleza dos Nogueiras","0-4",500,"Feminino"
"74",210420,"Fortuna","0-4",670,"Feminino"
"75",210430,"Godofredo Viana","0-4",506,"Feminino"
"76",210440,"Gonçalves Dias","0-4",727,"Feminino"
"77",210450,"Governador Archer","0-4",444,"Feminino"
"78",210455,"Governador Edison Lobão","0-4",770,"Feminino"
"79",210460,"Governador Eugênio Barros","0-4",745,"Feminino"
"80",210462,"Governador Luiz Rocha","0-4",316,"Feminino"
"81",210465,"Governador Newton Bello","0-4",501,"Feminino"
"82",210467,"Governador Nunes Freire","0-4",1261,"Feminino"
"83",210470,"Graça Aranha","0-4",229,"Feminino"
"84",210480,"Grajaú","0-4",3376,"Feminino"
"85",210490,"Guimarães","0-4",426,"Feminino"
"86",210500,"Humberto de Campos","0-4",1634,"Feminino"
"87",210510,"Icatu","0-4",1372,"Feminino"
"88",210515,"Igarapé do Meio","0-4",724,"Feminino"
"89",210520,"Igarapé Grande","0-4",406,"Feminino"
"90",210530,"Imperatriz","0-4",8441,"Feminino"
"91",210535,"Itaipava do Grajaú","0-4",860,"Feminino"
"92",210540,"Itapecuru Mirim","0-4",3088,"Feminino"
"93",210542,"Itinga do Maranhão","0-4",1051,"Feminino"
"94",210545,"Jatobá","0-4",492,"Feminino"
"95",210547,"Jenipapo dos Vieiras","0-4",924,"Feminino"
"96",210550,"João Lisboa","0-4",937,"Feminino"
"97",210560,"Joselândia","0-4",685,"Feminino"
"98",210565,"Junco do Maranhão","0-4",152,"Feminino"
"99",210570,"Lago da Pedra","0-4",2023,"Feminino"
"100",210580,"Lago do Junco","0-4",451,"Feminino"
"101",210594,"Lago dos Rodrigues","0-4",328,"Feminino"
"102",210590,"Lago Verde","0-4",798,"Feminino"
"103",210592,"Lagoa do Mato","0-4",428,"Feminino"
"104",210596,"Lagoa Grande do Maranhão","0-4",575,"Feminino"
"105",210598,"Lajeado Novo","0-4",306,"Feminino"
"106",210600,"Lima Campos","0-4",427,"Feminino"
"107",210610,"Loreto","0-4",459,"Feminino"
"108",210620,"Luís Domingues","0-4",309,"Feminino"
"109",210630,"Magalhães de Almeida","0-4",828,"Feminino"
"110",210632,"Maracaçumé","0-4",1083,"Feminino"
"111",210635,"Marajá do Sena","0-4",425,"Feminino"
"112",210637,"Maranhãozinho","0-4",650,"Feminino"
"113",210640,"Mata Roma","0-4",843,"Feminino"
"114",210650,"Matinha","0-4",974,"Feminino"
"115",210660,"Matões","0-4",1679,"Feminino"
"116",210663,"Matões do Norte","0-4",724,"Feminino"
"117",210667,"Milagres do Maranhão","0-4",458,"Feminino"
"118",210670,"Mirador","0-4",900,"Feminino"
"119",210675,"Miranda do Norte","0-4",1064,"Feminino"
"120",210680,"Mirinzal","0-4",602,"Feminino"
"121",210690,"Monção","0-4",1723,"Feminino"
"122",210700,"Montes Altos","0-4",373,"Feminino"
"123",210710,"Morros","0-4",974,"Feminino"
"124",210720,"Nina Rodrigues","0-4",780,"Feminino"
"125",210725,"Nova Colinas","0-4",248,"Feminino"
"126",210730,"Nova Iorque","0-4",177,"Feminino"
"127",210735,"Nova Olinda do Maranhão","0-4",885,"Feminino"
"128",210740,"Olho d'Água das Cunhãs","0-4",692,"Feminino"
"129",210745,"Olinda Nova do Maranhão","0-4",624,"Feminino"
"130",210750,"Paço do Lumiar","0-4",3997,"Feminino"
"131",210760,"Palmeirândia","0-4",827,"Feminino"
"132",210770,"Paraibano","0-4",773,"Feminino"
"133",210780,"Parnarama","0-4",1548,"Feminino"
"134",210790,"Passagem Franca","0-4",811,"Feminino"
"135",210800,"Pastos Bons","0-4",826,"Feminino"
"136",210805,"Paulino Neves","0-4",887,"Feminino"
"137",210810,"Paulo Ramos","0-4",946,"Feminino"
"138",210820,"Pedreiras","0-4",1406,"Feminino"
"139",210825,"Pedro do Rosário","0-4",1408,"Feminino"
"140",210830,"Penalva","0-4",1837,"Feminino"
"141",210840,"Peri Mirim","0-4",545,"Feminino"
"142",210845,"Peritoró","0-4",1107,"Feminino"
"143",210850,"Pindaré-Mirim","0-4",1437,"Feminino"
"144",210860,"Pinheiro","0-4",3045,"Feminino"
"145",210870,"Pio XII","0-4",923,"Feminino"
"146",210880,"Pirapemas","0-4",930,"Feminino"
"147",210890,"Poção de Pedras","0-4",624,"Feminino"
"148",210900,"Porto Franco","0-4",890,"Feminino"
"149",210905,"Porto Rico do Maranhão","0-4",205,"Feminino"
"150",210910,"Presidente Dutra","0-4",1721,"Feminino"
"151",210920,"Presidente Juscelino","0-4",679,"Feminino"
"152",210923,"Presidente Médici","0-4",300,"Feminino"
"153",210927,"Presidente Sarney","0-4",945,"Feminino"
"154",210930,"Presidente Vargas","0-4",584,"Feminino"
"155",210940,"Primeira Cruz","0-4",804,"Feminino"
"156",210945,"Raposa","0-4",1280,"Feminino"
"157",210950,"Riachão","0-4",834,"Feminino"
"158",210955,"Ribamar Fiquene","0-4",333,"Feminino"
"159",210960,"Rosário","0-4",1721,"Feminino"
"160",210970,"Sambaíba","0-4",226,"Feminino"
"161",210975,"Santa Filomena do Maranhão","0-4",379,"Feminino"
"162",210980,"Santa Helena","0-4",1908,"Feminino"
"163",210990,"Santa Inês","0-4",3491,"Feminino"
"164",211000,"Santa Luzia","0-4",3560,"Feminino"
"165",211003,"Santa Luzia do Paruá","0-4",1092,"Feminino"
"166",211010,"Santa Quitéria do Maranhão","0-4",1188,"Feminino"
"167",211020,"Santa Rita","0-4",1543,"Feminino"
"168",211023,"Santana do Maranhão","0-4",612,"Feminino"
"169",211027,"Santo Amaro do Maranhão","0-4",861,"Feminino"
"170",211030,"Santo Antônio dos Lopes","0-4",531,"Feminino"
"171",211040,"São Benedito do Rio Preto","0-4",1016,"Feminino"
"172",211050,"São Bento","0-4",1592,"Feminino"
"173",211060,"São Bernardo","0-4",1351,"Feminino"
"174",211065,"São Domingos do Azeitão","0-4",332,"Feminino"
"175",211070,"São Domingos do Maranhão","0-4",1364,"Feminino"
"176",211080,"São Félix de Balsas","0-4",166,"Feminino"
"177",211085,"São Francisco do Brejão","0-4",527,"Feminino"
"178",211090,"São Francisco do Maranhão","0-4",459,"Feminino"
"179",211100,"São João Batista","0-4",831,"Feminino"
"180",211102,"São João do Carú","0-4",868,"Feminino"
"181",211105,"São João do Paraíso","0-4",441,"Feminino"
"182",211107,"São João do Soter","0-4",952,"Feminino"
"183",211110,"São João dos Patos","0-4",887,"Feminino"
"184",211120,"São José de Ribamar","0-4",6063,"Feminino"
"185",211125,"São José dos Basílios","0-4",314,"Feminino"
"186",211130,"São Luís","0-4",30903,"Feminino"
"187",211140,"São Luís Gonzaga do Maranhão","0-4",801,"Feminino"
"188",211150,"São Mateus do Maranhão","0-4",1762,"Feminino"
"189",211153,"São Pedro da Água Branca","0-4",600,"Feminino"
"190",211157,"São Pedro dos Crentes","0-4",186,"Feminino"
"191",211160,"São Raimundo das Mangabeiras","0-4",737,"Feminino"
"192",211163,"São Raimundo do Doca Bezerra","0-4",232,"Feminino"
"193",211167,"São Roberto","0-4",330,"Feminino"
"194",211170,"São Vicente Ferrer","0-4",892,"Feminino"
"195",211172,"Satubinha","0-4",720,"Feminino"
"196",211174,"Senador Alexandre Costa","0-4",525,"Feminino"
"197",211176,"Senador La Rocque","0-4",593,"Feminino"
"198",211178,"Serrano do Maranhão","0-4",517,"Feminino"
"199",211180,"Sítio Novo","0-4",756,"Feminino"
"200",211190,"Sucupira do Norte","0-4",434,"Feminino"
"201",211195,"Sucupira do Riachão","0-4",212,"Feminino"
"202",211200,"Tasso Fragoso","0-4",438,"Feminino"
"203",211210,"Timbiras","0-4",1289,"Feminino"
"204",211220,"Timon","0-4",6060,"Feminino"
"205",211223,"Trizidela do Vale","0-4",838,"Feminino"
"206",211227,"Tufilândia","0-4",322,"Feminino"
"207",211230,"Tuntum","0-4",1747,"Feminino"
"208",211240,"Turiaçu","0-4",1884,"Feminino"
"209",211245,"Turilândia","0-4",1388,"Feminino"
"210",211250,"Tutóia","0-4",2844,"Feminino"
"211",211260,"Urbano Santos","0-4",1836,"Feminino"
"212",211270,"Vargem Grande","0-4",2749,"Feminino"
"213",211280,"Viana","0-4",2227,"Feminino"
"214",211285,"Vila Nova dos Martírios","0-4",640,"Feminino"
"215",211290,"Vitória do Mearim","0-4",1406,"Feminino"
"216",211300,"Vitorino Freire","0-4",1189,"Feminino"
"217",211400,"Zé Doca","0-4",2203,"Feminino"
"218",210005,"Açailândia","5-9",4522,"Feminino"
"219",210010,"Afonso Cunha","5-9",335,"Feminino"
"220",210015,"Água Doce do Maranhão","5-9",526,"Feminino"
"221",210020,"Alcântara","5-9",881,"Feminino"
"222",210030,"Aldeias Altas","5-9",1338,"Feminino"
"223",210040,"Altamira do Maranhão","5-9",303,"Feminino"
"224",210043,"Alto Alegre do Maranhão","5-9",1198,"Feminino"
"225",210047,"Alto Alegre do Pindaré","5-9",1479,"Feminino"
"226",210050,"Alto Parnaíba","5-9",486,"Feminino"
"227",210055,"Amapá do Maranhão","5-9",324,"Feminino"
"228",210060,"Amarante do Maranhão","5-9",2111,"Feminino"
"229",210070,"Anajatuba","5-9",1030,"Feminino"
"230",210080,"Anapurus","5-9",710,"Feminino"
"231",210083,"Apicum-Açu","5-9",683,"Feminino"
"232",210087,"Araguanã","5-9",746,"Feminino"
"233",210090,"Araioses","5-9",1996,"Feminino"
"234",210095,"Arame","5-9",1552,"Feminino"
"235",210100,"Arari","5-9",1170,"Feminino"
"236",210110,"Axixá","5-9",492,"Feminino"
"237",210120,"Bacabal","5-9",4120,"Feminino"
"238",210125,"Bacabeira","5-9",732,"Feminino"
"239",210130,"Bacuri","5-9",729,"Feminino"
"240",210135,"Bacurituba","5-9",216,"Feminino"
"241",210140,"Balsas","5-9",3999,"Feminino"
"242",210150,"Barão de Grajaú","5-9",617,"Feminino"
"243",210160,"Barra do Corda","5-9",3751,"Feminino"
"244",210170,"Barreirinhas","5-9",3183,"Feminino"
"245",210177,"Bela Vista do Maranhão","5-9",495,"Feminino"
"246",210173,"Belágua","5-9",425,"Feminino"
"247",210180,"Benedito Leite","5-9",186,"Feminino"
"248",210190,"Bequimão","5-9",787,"Feminino"
"249",210193,"Bernardo do Mearim","5-9",240,"Feminino"
"250",210197,"Boa Vista do Gurupi","5-9",456,"Feminino"
"251",210200,"Bom Jardim","5-9",1950,"Feminino"
"252",210203,"Bom Jesus das Selvas","5-9",1663,"Feminino"
"253",210207,"Bom Lugar","5-9",708,"Feminino"
"254",210210,"Brejo","5-9",1704,"Feminino"
"255",210215,"Brejo de Areia","5-9",432,"Feminino"
"256",210220,"Buriti","5-9",1452,"Feminino"
"257",210230,"Buriti Bravo","5-9",1034,"Feminino"
"258",210232,"Buriticupu","5-9",3646,"Feminino"
"259",210235,"Buritirana","5-9",674,"Feminino"
"260",210237,"Cachoeira Grande","5-9",462,"Feminino"
"261",210240,"Cajapió","5-9",506,"Feminino"
"262",210250,"Cajari","5-9",828,"Feminino"
"263",210255,"Campestre do Maranhão","5-9",593,"Feminino"
"264",210260,"Cândido Mendes","5-9",892,"Feminino"
"265",210270,"Cantanhede","5-9",915,"Feminino"
"266",210275,"Capinzal do Norte","5-9",447,"Feminino"
"267",210280,"Carolina","5-9",933,"Feminino"
"268",210290,"Carutapera","5-9",1101,"Feminino"
"269",210300,"Caxias","5-9",6489,"Feminino"
"270",210310,"Cedral","5-9",379,"Feminino"
"271",210312,"Central do Maranhão","5-9",409,"Feminino"
"272",210315,"Centro do Guilherme","5-9",619,"Feminino"
"273",210317,"Centro Novo do Maranhão","5-9",1043,"Feminino"
"274",210320,"Chapadinha","5-9",3681,"Feminino"
"275",210325,"Cidelândia","5-9",644,"Feminino"
"276",210330,"Codó","5-9",5334,"Feminino"
"277",210340,"Coelho Neto","5-9",2243,"Feminino"
"278",210350,"Colinas","5-9",1739,"Feminino"
"279",210355,"Conceição do Lago-Açu","5-9",850,"Feminino"
"280",210360,"Coroatá","5-9",2782,"Feminino"
"281",210370,"Cururupu","5-9",1161,"Feminino"
"282",210375,"Davinópolis","5-9",546,"Feminino"
"283",210380,"Dom Pedro","5-9",919,"Feminino"
"284",210390,"Duque Bacelar","5-9",527,"Feminino"
"285",210400,"Esperantinópolis","5-9",679,"Feminino"
"286",210405,"Estreito","5-9",1693,"Feminino"
"287",210407,"Feira Nova do Maranhão","5-9",358,"Feminino"
"288",210408,"Fernando Falcão","5-9",537,"Feminino"
"289",210409,"Formosa da Serra Negra","5-9",765,"Feminino"
"290",210410,"Fortaleza dos Nogueiras","5-9",500,"Feminino"
"291",210420,"Fortuna","5-9",678,"Feminino"
"292",210430,"Godofredo Viana","5-9",507,"Feminino"
"293",210440,"Gonçalves Dias","5-9",719,"Feminino"
"294",210450,"Governador Archer","5-9",434,"Feminino"
"295",210455,"Governador Edison Lobão","5-9",762,"Feminino"
"296",210460,"Governador Eugênio Barros","5-9",728,"Feminino"
"297",210462,"Governador Luiz Rocha","5-9",302,"Feminino"
"298",210465,"Governador Newton Bello","5-9",483,"Feminino"
"299",210467,"Governador Nunes Freire","5-9",1234,"Feminino"
"300",210470,"Graça Aranha","5-9",227,"Feminino"
"301",210480,"Grajaú","5-9",3262,"Feminino"
"302",210490,"Guimarães","5-9",439,"Feminino"
"303",210500,"Humberto de Campos","5-9",1473,"Feminino"
"304",210510,"Icatu","5-9",1273,"Feminino"
"305",210515,"Igarapé do Meio","5-9",685,"Feminino"
"306",210520,"Igarapé Grande","5-9",431,"Feminino"
"307",210530,"Imperatriz","5-9",9035,"Feminino"
"308",210535,"Itaipava do Grajaú","5-9",805,"Feminino"
"309",210540,"Itapecuru Mirim","5-9",3015,"Feminino"
"310",210542,"Itinga do Maranhão","5-9",1051,"Feminino"
"311",210545,"Jatobá","5-9",479,"Feminino"
"312",210547,"Jenipapo dos Vieiras","5-9",841,"Feminino"
"313",210550,"João Lisboa","5-9",930,"Feminino"
"314",210560,"Joselândia","5-9",674,"Feminino"
"315",210565,"Junco do Maranhão","5-9",151,"Feminino"
"316",210570,"Lago da Pedra","5-9",2054,"Feminino"
"317",210580,"Lago do Junco","5-9",451,"Feminino"
"318",210594,"Lago dos Rodrigues","5-9",328,"Feminino"
"319",210590,"Lago Verde","5-9",759,"Feminino"
"320",210592,"Lagoa do Mato","5-9",429,"Feminino"
"321",210596,"Lagoa Grande do Maranhão","5-9",544,"Feminino"
"322",210598,"Lajeado Novo","5-9",297,"Feminino"
"323",210600,"Lima Campos","5-9",433,"Feminino"
"324",210610,"Loreto","5-9",459,"Feminino"
"325",210620,"Luís Domingues","5-9",298,"Feminino"
"326",210630,"Magalhães de Almeida","5-9",824,"Feminino"
"327",210632,"Maracaçumé","5-9",1071,"Feminino"
"328",210635,"Marajá do Sena","5-9",399,"Feminino"
"329",210637,"Maranhãozinho","5-9",614,"Feminino"
"330",210640,"Mata Roma","5-9",813,"Feminino"
"331",210650,"Matinha","5-9",972,"Feminino"
"332",210660,"Matões","5-9",1597,"Feminino"
"333",210663,"Matões do Norte","5-9",660,"Feminino"
"334",210667,"Milagres do Maranhão","5-9",417,"Feminino"
"335",210670,"Mirador","5-9",894,"Feminino"
"336",210675,"Miranda do Norte","5-9",1097,"Feminino"
"337",210680,"Mirinzal","5-9",582,"Feminino"
"338",210690,"Monção","5-9",1581,"Feminino"
"339",210700,"Montes Altos","5-9",373,"Feminino"
"340",210710,"Morros","5-9",935,"Feminino"
"341",210720,"Nina Rodrigues","5-9",747,"Feminino"
"342",210725,"Nova Colinas","5-9",236,"Feminino"
"343",210730,"Nova Iorque","5-9",179,"Feminino"
"344",210735,"Nova Olinda do Maranhão","5-9",853,"Feminino"
"345",210740,"Olho d'Água das Cunhãs","5-9",710,"Feminino"
"346",210745,"Olinda Nova do Maranhão","5-9",617,"Feminino"
"347",210750,"Paço do Lumiar","5-9",4219,"Feminino"
"348",210760,"Palmeirândia","5-9",820,"Feminino"
"349",210770,"Paraibano","5-9",822,"Feminino"
"350",210780,"Parnarama","5-9",1489,"Feminino"
"351",210790,"Passagem Franca","5-9",809,"Feminino"
"352",210800,"Pastos Bons","5-9",846,"Feminino"
"353",210805,"Paulino Neves","5-9",820,"Feminino"
"354",210810,"Paulo Ramos","5-9",926,"Feminino"
"355",210820,"Pedreiras","5-9",1502,"Feminino"
"356",210825,"Pedro do Rosário","5-9",1268,"Feminino"
"357",210830,"Penalva","5-9",1741,"Feminino"
"358",210840,"Peri Mirim","5-9",536,"Feminino"
"359",210845,"Peritoró","5-9",1044,"Feminino"
"360",210850,"Pindaré-Mirim","5-9",1443,"Feminino"
"361",210860,"Pinheiro","5-9",3185,"Feminino"
"362",210870,"Pio XII","5-9",935,"Feminino"
"363",210880,"Pirapemas","5-9",888,"Feminino"
"364",210890,"Poção de Pedras","5-9",635,"Feminino"
"365",210900,"Porto Franco","5-9",936,"Feminino"
"366",210905,"Porto Rico do Maranhão","5-9",203,"Feminino"
"367",210910,"Presidente Dutra","5-9",1801,"Feminino"
"368",210920,"Presidente Juscelino","5-9",646,"Feminino"
"369",210923,"Presidente Médici","5-9",294,"Feminino"
"370",210927,"Presidente Sarney","5-9",871,"Feminino"
"371",210930,"Presidente Vargas","5-9",558,"Feminino"
"372",210940,"Primeira Cruz","5-9",744,"Feminino"
"373",210945,"Raposa","5-9",1262,"Feminino"
"374",210950,"Riachão","5-9",817,"Feminino"
"375",210955,"Ribamar Fiquene","5-9",315,"Feminino"
"376",210960,"Rosário","5-9",1714,"Feminino"
"377",210970,"Sambaíba","5-9",228,"Feminino"
"378",210975,"Santa Filomena do Maranhão","5-9",362,"Feminino"
"379",210980,"Santa Helena","5-9",1868,"Feminino"
"380",210990,"Santa Inês","5-9",3605,"Feminino"
"381",211000,"Santa Luzia","5-9",3372,"Feminino"
"382",211003,"Santa Luzia do Paruá","5-9",1054,"Feminino"
"383",211010,"Santa Quitéria do Maranhão","5-9",1154,"Feminino"
"384",211020,"Santa Rita","5-9",1520,"Feminino"
"385",211023,"Santana do Maranhão","5-9",567,"Feminino"
"386",211027,"Santo Amaro do Maranhão","5-9",794,"Feminino"
"387",211030,"Santo Antônio dos Lopes","5-9",534,"Feminino"
"388",211040,"São Benedito do Rio Preto","5-9",971,"Feminino"
"389",211050,"São Bento","5-9",1643,"Feminino"
"390",211060,"São Bernardo","5-9",1277,"Feminino"
"391",211065,"São Domingos do Azeitão","5-9",321,"Feminino"
"392",211070,"São Domingos do Maranhão","5-9",1388,"Feminino"
"393",211080,"São Félix de Balsas","5-9",169,"Feminino"
"394",211085,"São Francisco do Brejão","5-9",520,"Feminino"
"395",211090,"São Francisco do Maranhão","5-9",461,"Feminino"
"396",211100,"São João Batista","5-9",808,"Feminino"
"397",211102,"São João do Carú","5-9",782,"Feminino"
"398",211105,"São João do Paraíso","5-9",421,"Feminino"
"399",211107,"São João do Soter","5-9",890,"Feminino"
"400",211110,"São João dos Patos","5-9",946,"Feminino"
"401",211120,"São José de Ribamar","5-9",6388,"Feminino"
"402",211125,"São José dos Basílios","5-9",309,"Feminino"
"403",211130,"São Luís","5-9",34792,"Feminino"
"404",211140,"São Luís Gonzaga do Maranhão","5-9",789,"Feminino"
"405",211150,"São Mateus do Maranhão","5-9",1804,"Feminino"
"406",211153,"São Pedro da Água Branca","5-9",588,"Feminino"
"407",211157,"São Pedro dos Crentes","5-9",189,"Feminino"
"408",211160,"São Raimundo das Mangabeiras","5-9",765,"Feminino"
"409",211163,"São Raimundo do Doca Bezerra","5-9",224,"Feminino"
"410",211167,"São Roberto","5-9",310,"Feminino"
"411",211170,"São Vicente Ferrer","5-9",878,"Feminino"
"412",211172,"Satubinha","5-9",679,"Feminino"
"413",211174,"Senador Alexandre Costa","5-9",515,"Feminino"
"414",211176,"Senador La Rocque","5-9",600,"Feminino"
"415",211178,"Serrano do Maranhão","5-9",463,"Feminino"
"416",211180,"Sítio Novo","5-9",752,"Feminino"
"417",211190,"Sucupira do Norte","5-9",430,"Feminino"
"418",211195,"Sucupira do Riachão","5-9",224,"Feminino"
"419",211200,"Tasso Fragoso","5-9",410,"Feminino"
"420",211210,"Timbiras","5-9",1264,"Feminino"
"421",211220,"Timon","5-9",6215,"Feminino"
"422",211223,"Trizidela do Vale","5-9",878,"Feminino"
"423",211227,"Tufilândia","5-9",299,"Feminino"
"424",211230,"Tuntum","5-9",1715,"Feminino"
"425",211240,"Turiaçu","5-9",1738,"Feminino"
"426",211245,"Turilândia","5-9",1384,"Feminino"
"427",211250,"Tutóia","5-9",2717,"Feminino"
"428",211260,"Urbano Santos","5-9",1735,"Feminino"
"429",211270,"Vargem Grande","5-9",2627,"Feminino"
"430",211280,"Viana","5-9",2194,"Feminino"
"431",211285,"Vila Nova dos Martírios","5-9",585,"Feminino"
"432",211290,"Vitória do Mearim","5-9",1402,"Feminino"
"433",211300,"Vitorino Freire","5-9",1209,"Feminino"
"434",211400,"Zé Doca","5-9",2231,"Feminino"
"435",210005,"Açailândia","10-14",5121,"Feminino"
"436",210010,"Afonso Cunha","10-14",351,"Feminino"
"437",210015,"Água Doce do Maranhão","10-14",519,"Feminino"
"438",210020,"Alcântara","10-14",948,"Feminino"
"439",210030,"Aldeias Altas","10-14",1400,"Feminino"
"440",210040,"Altamira do Maranhão","10-14",318,"Feminino"
"441",210043,"Alto Alegre do Maranhão","10-14",1357,"Feminino"
"442",210047,"Alto Alegre do Pindaré","10-14",1444,"Feminino"
"443",210050,"Alto Parnaíba","10-14",499,"Feminino"
"444",210055,"Amapá do Maranhão","10-14",335,"Feminino"
"445",210060,"Amarante do Maranhão","10-14",2116,"Feminino"
"446",210070,"Anajatuba","10-14",1110,"Feminino"
"447",210080,"Anapurus","10-14",771,"Feminino"
"448",210083,"Apicum-Açu","10-14",692,"Feminino"
"449",210087,"Araguanã","10-14",724,"Feminino"
"450",210090,"Araioses","10-14",1985,"Feminino"
"451",210095,"Arame","10-14",1506,"Feminino"
"452",210100,"Arari","10-14",1338,"Feminino"
"453",210110,"Axixá","10-14",514,"Feminino"
"454",210120,"Bacabal","10-14",4876,"Feminino"
"455",210125,"Bacabeira","10-14",824,"Feminino"
"456",210130,"Bacuri","10-14",719,"Feminino"
"457",210135,"Bacurituba","10-14",212,"Feminino"
"458",210140,"Balsas","10-14",4679,"Feminino"
"459",210150,"Barão de Grajaú","10-14",724,"Feminino"
"460",210160,"Barra do Corda","10-14",3993,"Feminino"
"461",210170,"Barreirinhas","10-14",3197,"Feminino"
"462",210177,"Bela Vista do Maranhão","10-14",546,"Feminino"
"463",210173,"Belágua","10-14",378,"Feminino"
"464",210180,"Benedito Leite","10-14",211,"Feminino"
"465",210190,"Bequimão","10-14",796,"Feminino"
"466",210193,"Bernardo do Mearim","10-14",234,"Feminino"
"467",210197,"Boa Vista do Gurupi","10-14",422,"Feminino"
"468",210200,"Bom Jardim","10-14",1985,"Feminino"
"469",210203,"Bom Jesus das Selvas","10-14",1886,"Feminino"
"470",210207,"Bom Lugar","10-14",729,"Feminino"
"471",210210,"Brejo","10-14",1821,"Feminino"
"472",210215,"Brejo de Areia","10-14",417,"Feminino"
"473",210220,"Buriti","10-14",1485,"Feminino"
"474",210230,"Buriti Bravo","10-14",1080,"Feminino"
"475",210232,"Buriticupu","10-14",3929,"Feminino"
"476",210235,"Buritirana","10-14",686,"Feminino"
"477",210237,"Cachoeira Grande","10-14",438,"Feminino"
"478",210240,"Cajapió","10-14",560,"Feminino"
"479",210250,"Cajari","10-14",836,"Feminino"
"480",210255,"Campestre do Maranhão","10-14",637,"Feminino"
"481",210260,"Cândido Mendes","10-14",975,"Feminino"
"482",210270,"Cantanhede","10-14",905,"Feminino"
